pinid,arrival_time
pin545,1200.3
pin546,1200.4
pin547,1200.4
pin548,1200.4
pin549,1200.4
pin550,1200.45
pin551,1200.5
pin552,1200.5
pin553,1200.5
pin554,1200.5
pin555,1200.54
pin556,1200.6
pin557,1200.7
pin558,1200.75
pin559,1200.82
pin560,1200.9
pin561,1201.0
pin562,1201.1
pin563,1201.1
pin564,1201.16
pin565,1201.2
pin566,1201.29
pin567,1201.3
pin568,1201.4
pin569,1201.4
pin570,1201.4
pin571,1201.4
pin572,1201.4
pin573,1201.48
pin574,1201.49
pin575,1201.5
pin576,1201.5
pin577,1201.5
pin578,1201.6
pin579,1201.7
pin580,1201.78
pin581,1201.84
pin582,1201.85
pin583,1201.9
pin584,1201.9
pin585,1201.9
pin586,1201.91
pin587,1202.0
pin588,1202.0
pin589,1202.0
pin590,1202.03
pin591,1202.08
pin592,1202.1
pin593,1202.11
pin594,1202.17
pin595,1202.2
pin596,1202.3
pin597,1202.39
pin598,1202.4
pin599,1202.4
pin600,1202.44
pin601,1202.6
pin602,1202.6
pin603,1202.6
pin604,1202.61
pin605,1202.61
pin606,1202.63
pin607,1202.7
pin608,1202.7
pin609,1202.7
pin610,1202.8
pin611,1202.8
pin612,1202.9
pin613,1202.93
pin614,1203.03
pin615,1203.03
pin616,1203.1
pin617,1203.2
pin618,1203.23
pin619,1203.24
pin620,1203.28
pin621,1203.3
pin622,1203.3
pin623,1203.38
pin624,1203.41
pin625,1203.5
pin626,1203.5
pin627,1203.5
pin628,1203.5
pin629,1203.52
pin630,1203.56
pin631,1203.56
pin632,1203.6
pin633,1203.6
pin634,1203.6
pin635,1203.6
pin636,1203.65
pin637,1203.7
pin638,1203.7
pin639,1203.7
pin640,1203.7
pin641,1203.8
pin642,1203.8
pin643,1203.82
pin644,1203.9
pin645,1203.94
pin646,1204.0
pin647,1204.1
pin648,1204.16
pin649,1204.2
pin650,1204.2
pin651,1204.22
pin652,1204.24
pin653,1204.27
pin654,1204.27
pin655,1204.4
pin656,1204.4
pin657,1204.4
pin658,1204.48
pin659,1204.48
pin660,1204.51
pin661,1204.52
pin662,1204.53
pin663,1204.55
pin664,1204.6
pin665,1204.64
pin666,1204.7
pin667,1204.7
pin668,1204.7
pin669,1204.79
pin670,1204.89
pin671,1204.89
pin672,1204.9
pin673,1204.9
pin674,1205.0
pin675,1205.0
pin676,1205.0
pin677,1205.2
pin678,1205.28
pin679,1205.3
pin680,1205.39
pin681,1205.66
pin682,1205.72
pin683,1206.0
pin684,1206.04
pin685,1206.05
pin686,1206.08
pin687,1206.1
pin688,1206.1
pin689,1206.13
pin690,1206.4
pin691,1206.49
pin692,1206.5
pin693,1206.6
pin694,1206.69
pin695,1206.7
pin696,1206.8
pin697,1206.8
pin698,1206.9
pin699,1207.18
pin700,1207.2
pin701,1207.25
pin702,1207.32
pin703,1207.35
pin704,1207.42
pin705,1207.58
pin706,1207.6
pin707,1208.11
pin708,1208.17
pin709,1208.2
pin710,1208.22
pin711,1208.3
pin712,1208.3
pin713,1208.32
pin714,1208.34
pin715,1208.4
pin716,1208.5
pin717,1208.52
pin718,1208.6
pin719,1208.7
pin720,1208.74
pin721,1208.8
pin722,1208.97
pin723,1209.0
pin724,1209.2
pin725,1209.3
pin726,1209.3
pin727,1209.44
pin728,1209.48
pin729,1209.5
pin730,1209.53
pin731,1209.6
pin732,1209.8
pin733,1209.88
pin734,1210.56
pin735,1210.77
pin736,1211.0
pin737,1211.1
pin738,1211.1
pin739,1211.2
pin740,1211.2
pin741,1211.43
pin742,1211.5
pin743,1211.5
pin744,1211.7
pin745,1212.0
pin746,1212.1
pin747,1212.2
pin748,1212.3
pin749,1212.31
pin750,1212.4
pin751,1212.71
pin752,1212.81
pin753,1212.9
pin754,1213.0
pin755,1213.1
pin756,1213.4
pin757,1213.6
pin758,1214.9
pin759,1216.11
pin760,1216.5
pin761,1218.1
pin762,1218.39
pin763,1218.5
pin764,1218.91
pin765,1219.3
pin766,1219.5
pin767,1219.5
pin768,1219.6
pin769,1219.6
pin770,1222.6
pin771,1222.6
pin772,1222.9
pin773,1224.7
pin774,1225.1
pin775,1226.8
pin776,1227.0
pin777,1227.3
pin778,1227.4
pin779,1234.66
pin780,1236.05
pin781,1236.44
pin782,1242.12
pin783,1243.95
pin784,1276.2
pin785,1286.9
pin786,1297.4
pin787,1297.6
pin788,1299.2
pin789,1307.9
