pinid,latitude,longitude
pin219,41.445,41.6223
pin220,39.9053,41.3658
pin221,37.1721,37.2113
pin222,40.46,39.48
pin223,36.5869,34.1453
pin224,34.9622,33.3306
pin225,38.11,34.61
pin226,38.1923,41.4888
pin227,39.369,33.713
pin228,40.1785,34.6302
pin229,37.8226,30.5221
pin230,35.1193,32.8903
pin231,38.8758,40.489
pin232,35.004,34.032
pin233,38.3261,38.4253
pin234,43.5833,39.7167
pin235,39.64,35.32
pin236,36.2386,33.6853
pin237,37.6307,36.8734
pin238,40.4653,31.2145
pin239,36.1212,36.1378
pin240,38.88,31.88
pin241,38.3134,38.4273
pin242,37.3553,37.5641
pin243,42.1993,-75.9861
pin244,44.8,37.433
pin245,39.725,33.639
pin246,41.4685,34.7667
pin247,42.767,-77.817
pin248,39.52,30.85
pin249,37.01,35.748
pin250,41.4206,34.9036
pin251,34.755,32.882
pin252,36.5197,36.2556
pin253,40.7912,-73.96
pin254,38.852,35.846
pin255,34.8847,32.345
pin256,40.6061,33.6196
pin257,38.7794,34.8553
pin258,36.6353,29.0835
pin259,35.156,32.599
pin260,40.6231,34.7897
pin261,39.0552,30.1103
pin262,36.7482,29.9085
pin263,39.8689,32.7936
pin264,40.49,33.4269
pin265,32.3712,-64.6962
pin266,40.046,28.896
pin267,35.027,32.33
pin268,43.9992,-73.1812
pin269,41.036,34.023
pin270,34.9622,33.3306
pin271,35.5508,27.1747
pin272,40.8231,30.8992
pin273,43.3843,-73.6678
pin274,43.9708,-74.2236
pin275,41.2398,32.6872
pin276,39.889,32.764
pin277,41.5342,33.3858
pin278,37.754,29.033
pin279,37.8226,30.5221
pin280,35.2625,25.6125
pin281,41.0055,-73.9079
pin282,36.7691,28.6371
pin283,36.9361,36.9528
pin284,44.0747,-73.534
pin285,37.6897,29.0464
pin286,38.4908,28.5578
pin287,56.3167,44.0833
pin288,37.6608,27.8792
pin289,40.8217,29.668
pin290,35.288,24.89
pin291,36.8998,30.6538
pin292,36.371,25.459
pin293,38.3232,29.5232
pin294,34.8391,24.0874
pin295,41.9178,-71.5388
pin296,37.2953,27.7765
pin297,37.4608,30.589
pin298,37.7087,26.837
pin299,36.2161,28.1261
pin300,38.3978,27.2625
pin301,40.1422,29.1361
pin302,44.949,34.116
pin303,42.5064,-71.5583
pin304,38.4028,27.2667
pin305,42.3847,-71.3221
pin306,43.7053,-72.2856
pin307,37.0689,25.5306
pin308,39.7617,28.0311
pin309,35.4069,24.1997
pin310,36.2161,28.1261
pin311,40.5667,29.3728
pin312,55.1138,36.5687
pin313,39.3083,26.6903
pin314,39.604,28.6191
pin315,40.3561,27.92
pin316,40.6889,27.18
pin317,37.0689,25.5306
pin318,44.7075,-67.4573
pin319,41.0656,29.0592
pin320,44.5648,-69.6575
pin321,39.8419,26.0528
pin322,46.671,-68.0168
pin323,37.0653,27.4442
pin324,40.8972,26.0456
pin325,42.4911,26.5297
pin326,43.1602,27.4099
pin327,55.7383,37.625
pin328,41.847,26.744
pin329,40.3468,27.8634
pin330,36.7182,22.937
pin331,38.6506,22.9994
pin332,39.64,27.88
pin333,41.1462,25.5375
pin334,42.0457,25.5778
pin335,43.3756,13.1954
pin336,37.1797,21.9267
pin337,45.178,28.1362
pin338,39.3067,23.2235
pin339,39.3661,23.1919
pin340,40.3344,23.9819
pin341,37.1797,21.9267
pin342,41.6941,24.7388
pin343,39.9272,23.6797
pin344,41.1172,23.5922
pin345,40.3739,23.4456
pin346,43.2653,25.9763
pin347,37.9722,23.7167
pin348,50.7012,29.2242
pin349,41.35,23.8619
pin350,39.2461,26.2717
pin351,54.8319,-66.8336
pin352,39.1703,23.88
pin353,40.1008,22.49
pin354,39.0222,22.3303
pin355,41.547,23.7495
pin356,54.5021,27.8833
pin357,40.6322,22.965
pin358,67.8979,34.6514
pin359,45.4909,25.945
pin360,69.5348,25.5057
pin361,50.6447,11.6156
pin362,41.1619,22.8981
pin363,45.8657,26.7277
pin364,38.0578,21.4667
pin365,40.3067,21.7708
pin366,40.9567,22.4014
pin367,38.9167,21.8087
pin368,41.6302,25.3396
pin369,41.8417,23.1287
pin370,39.8981,25.1831
pin371,42.5137,24.1734
pin372,39.9342,25.0814
pin373,45.4909,25.945
pin374,41.3211,22.5701
pin375,38.1772,20.5897
pin376,45.1188,26.5431
pin377,41.9636,19.2445
pin378,42.4302,19.2553
pin379,62.9182,31.3124
pin380,77.0082,15.5504
pin381,69.7553,27.0067
pin382,42.1469,24.7475
pin383,42.618,23.235
pin384,42.813,18.9932
pin385,52.2417,21.0236
pin386,45.2261,25.063
pin387,46.2578,27.8503
pin388,42.618,23.235
pin389,44.69,27.931
pin390,40.7838,21.3762
pin391,43.2031,18.9051
pin392,45.1188,26.5431
pin393,43.1226,25.1731
pin394,42.3007,18.8936
pin395,39.1786,16.7583
pin396,67.8979,34.6514
pin397,41.9721,21.4396
pin398,69.5349,25.5058
pin399,41.1114,20.7989
pin400,43.8289,21.9532
pin401,39.713,19.7987
pin402,69.6325,18.9281
pin403,40.8217,23.3539
pin404,41.5216,19.905
pin405,42.9016,18.5389
pin406,41.0194,21.3239
pin407,43.33,19.3889
pin408,43.8886,20.7153
pin409,62.1128,26.3061
pin410,42.5945,19.9587
pin411,69.0117,23.2371
pin412,47.9184,19.8944
pin413,43.5077,19.7005
pin414,42.8718,19.8931
pin415,49.6314,22.7075
pin416,42.4473,18.4938
pin417,46.0438,14.5274
pin418,69.5348,25.5057
pin419,44.0982,19.9917
pin420,47.2505,15.5232
pin421,44.3479,26.0281
pin422,41.3477,19.865
pin423,44.2655,21.2152
pin424,55.3148,26.739
pin425,41.7079,15.9534
pin426,41.723,14.305
pin427,74.502,18.999
pin428,42.8716,17.6999
pin429,55.3503,26.2225
pin430,61.4436,26.0771
pin431,55.7497,26.2458
pin432,49.4182,20.2996
pin433,55.5711,26.1255
pin434,54.0125,23.1808
pin435,44.5635,14.8711
pin436,48.8451,13.7016
pin437,46.4053,13.3533
pin438,38.0722,16.055
pin439,48.631,22.293
pin440,49.1309,13.5782
pin441,40.8608,15.0239
pin442,46.2119,18.6413
pin443,76.7714,-18.6547
pin444,37.4783,14.4119
pin445,40.0635,16.4492
pin446,40.1376,15.5535
pin447,46.275,13.2369
pin448,72.5763,-38.4538
pin449,46.0948,18.072
pin450,40.3346,18.112
pin451,59.7728,30.3222
pin452,48.494,18.8361
pin453,39.1786,16.7583
pin454,45.2261,25.063
pin455,38.0019,15.6939
pin456,44.1594,10.3864
pin457,40.5604,15.3074
pin458,40.6033,16.8191
pin459,48.5787,18.4024
pin460,49.7768,17.5425
pin461,38.2594,15.8939
pin462,38.1681,15.8289
pin463,41.7092,13.8103
pin464,48.9333,22.2731
pin465,38.8221,16.42
pin466,41.6419,14.254
pin467,41.3867,14.3788
pin468,45.471,16.372
pin469,47.2867,9.8803
pin470,42.5483,8.9994
pin471,40.7564,15.4889
pin472,60.8442,10.8865
pin473,49.6314,22.7075
pin474,39.6567,20.8508
pin475,37.5786,13.2156
pin476,50.0833,18.1942
pin477,48.5139,17.4287
pin478,38.0376,12.5873
pin479,42.0219,13.4006
pin480,50.2195,19.7984
pin481,43.4977,12.941
pin482,49.3083,16.5935
pin483,67.569,33.4051
pin484,46.0108,15.6245
pin485,42.8336,13.1143
pin486,49.8375,18.1472
pin487,42.3847,12.6808
pin488,50.3502,16.3222
pin489,45.504,15.252
pin490,43.9142,10.4915
pin491,45.7388,14.4267
pin492,50.8428,16.2931
pin493,43.8631,7.4352
pin494,46.0317,13.8935
pin495,45.8674,8.7684
pin496,61.0397,11.2148
pin497,50.5074,16.0121
pin498,44.184,10.401
pin499,45.8934,14.0643
pin500,49.819,24.031
pin501,46.5092,14.5489
pin502,43.4722,11.2911
pin503,42.3539,13.4019
pin504,45.0522,6.6786
pin505,49.9883,14.5417
pin506,44.1412,10.1522
pin507,69.6325,18.9281
pin508,47.0784,13.3447
pin509,46.2445,13.5094
pin510,52.48,13.78
pin511,43.255,12.9406
pin512,43.5607,6.6468
pin513,43.3339,6.5092
pin514,53.2697,17.2367
pin515,44.2783,10.0722
pin516,49.0619,16.3952
pin517,42.0228,12.7422
pin518,61.0397,11.2148
pin519,50.5282,14.5689
pin520,46.1495,15.4691
pin521,45.9488,15.3177
pin522,44.7269,6.7714
pin523,46.0612,14.9978
pin524,48.4122,7.2761
pin525,47.8167,6.8531
pin526,49.6059,8.8038
pin527,44.0625,10.5969
pin528,45.9575,7.9878
pin529,48.265,16.3183
pin530,45.7089,13.7642
pin531,39.496,9.378
pin532,44.1678,11.1229
pin533,44.349,10.2472
pin534,50.8732,13.9428
pin535,47.8495,14.2659
pin536,50.0703,14.4331
pin537,41.2825,15.2678
pin538,45.5164,6.7324
pin539,49.144,12.8782
pin540,44.4913,10.0658
pin541,55.1139,14.9147
pin542,45.4977,6.7514
pin543,43.9303,12.4497
pin544,48.0056,6.3481
pin545,44.9183,5.88
pin546,48.8451,13.7016
pin547,41.3006,13.9847
pin548,43.976,5.575
pin549,42.0641,12.0002
pin550,44.8093,20.4714
pin551,49.8797,7.5467
pin552,46.6111,6.0875
pin553,51.3077,13.0026
pin554,47.3357,11.5763
pin555,60.136,-1.1779
pin556,50.2331,12.4479
pin557,44.8561,4.6728
pin558,44.3908,9.85
pin559,64.7474,-21.3268
pin560,47.2638,11.6363
pin561,44.0761,3.857
pin562,43.5097,12.2443
pin563,49.7017,7.0593
pin564,28.0718,-15.5525
pin565,43.55,13.602
pin566,43.9048,11.8469
pin567,43.9617,11.5439
pin568,43.1475,10.9764
pin569,44.3506,10.5878
pin570,48.9806,7.8053
pin571,48.1505,7.603
pin572,48.5845,7.7658
pin573,43.7219,10.5249
pin574,43.8477,7.7038
pin575,48.5019,5.0519
pin576,43.3411,2.2175
pin577,46.6453,3.8411
pin578,50.1022,4.8233
pin579,47.8753,8.003
pin580,44.4192,10.4128
pin581,44.0795,7.755
pin582,48.7719,9.195
pin583,50.0592,4.2078
pin584,47.4644,7.5092
pin585,47.0615,3.506
pin586,43.9105,7.8932
pin587,53.9353,10.3169
pin588,48.1655,11.2763
pin589,47.2205,11.2087
pin590,44.4057,8.9697
pin591,55.9233,-3.1875
pin592,48.4133,7.3533
pin593,38.2563,15.7143
pin594,39.6743,-3.9631
pin595,47.8517,7.1332
pin596,49.6646,6.1526
pin597,43.8753,11.7214
pin598,46.5578,2.8464
pin599,44.9258,2.0644
pin600,44.3509,10.9765
pin601,48.2158,7.1583
pin602,47.2685,2.6394
pin603,46.2881,2.21
pin604,44.5413,8.5452
pin605,44.2958,7.8863
pin606,39.6743,-3.9631
pin607,43.0308,0.34
pin608,47.3448,11.1037
pin609,45.3044,1.5164
pin610,51.8416,10.3724
pin611,47.3508,6.8275
pin612,43.9863,7.5553
pin613,44.2267,7.4203
pin614,37.2565,15.2271
pin615,28.5567,-17.8062
pin616,44.9395,0.7402
pin617,43.9955,7.4275
pin618,50.9944,-4.485
pin619,44.2455,7.326
pin620,45.6075,10.5261
pin621,49.6919,11.2217
pin622,49.6919,11.2217
pin623,44.2455,7.326
pin624,38.7038,-0.225
pin625,45.6325,7.9817
pin626,45.6883,6.6256
pin627,44.4808,6.8128
pin628,48.2268,5.9863
pin629,37.8028,-3.0711
pin630,44.8417,7.2633
pin631,46.4761,10.3731
pin632,55.6853,12.4325
pin633,42.8986,-0.5592
pin634,46.8468,9.0083
pin635,46.6022,-0.1458
pin636,64.53,11.967
pin637,48.7625,-0.4819
pin638,48.5936,-0.1222
pin639,46.0505,7.964
pin640,45.5127,7.747
pin641,48.3883,-0.8583
pin642,43.1133,-1.225
pin643,45.1482,7.2653
pin644,50.2321,12.5117
pin645,44.5068,7.116
pin646,46.0632,6.8988
pin647,37.8422,-1.2405
pin648,41.3527,1.0786
pin649,43.7522,6.8894
pin650,38.1673,-4.5771
pin651,28.1594,-17.2096
pin652,45.6275,7.9814
pin653,39.0269,1.3436
pin654,44.0544,11.3564
pin655,46.387,7.6271
pin656,46.33,6.683
pin657,43.74,7.3675
pin658,37.2671,13.6669
pin659,45.0302,7.0627
pin660,44.2092,8.2083
pin661,51.9663,6.7989
pin662,38.7556,-7.0133
pin663,36.8979,-2.8896
pin664,48.3301,8.3296
pin665,44.9208,6.7908
pin666,45.2038,6.1163
pin667,48.2542,-2.5569
pin668,38.5636,14.8329
pin669,45.4595,7.1343
pin670,28.2237,-16.607
pin671,27.727,-17.9607
pin672,46.0801,7.4082
pin673,43.8963,7.1525
pin674,48.4832,20.4856
pin675,47.9167,-3.1656
pin676,46.4722,9.3472
pin677,46.9676,8.6371
pin678,43.2197,-1.5071
pin679,45.2425,5.7452
pin680,41.1264,14.9728
pin681,37.7675,-6.6724
pin682,40.9567,0.3335
pin683,44.3698,6.0735
pin684,44.7669,9.4478
pin685,37.1477,-4.1526
pin686,42.4487,2.8886
pin687,44.5783,5.3021
pin688,44.5783,5.3022
pin689,66.1713,14.4411
pin690,41.6778,12.6989
pin691,37.5868,-1.0012
pin692,70.4833,-21.95
pin693,48.9022,21.4614
pin694,40.3639,-0.4721
pin695,41.7219,-0.4693
pin696,42.6862,0.1428
pin697,70.9866,-8.5052
pin698,45.9698,3.6212
pin699,36.8686,-5.8562
pin700,38.532,-8.013
pin701,36.9717,-2.2069
pin702,36.5645,-4.7727
pin703,37.5342,-7.4831
pin704,37.0185,-3.8058
pin705,38.6386,-2.5025
pin706,41.8674,-8.0611
pin707,38.718,-9.1505
pin708,43.2317,-3.434
pin709,45.5178,3.6945
pin710,40.643,-4.154
pin711,45.2323,3.247
pin712,56.455,9.1733
pin713,38.1643,-3.7857
pin714,37.5605,-4.2668
pin715,40.8206,0.4936
pin716,45.7505,3.0078
pin717,42.0115,13.9046
pin718,38.8852,-9.1518
pin719,38.0264,-7.8664
pin720,29.1275,-13.5295
pin721,40.3997,-7.5442
pin722,44.5041,7.2466
pin723,46.0524,3.1311
pin724,45.3867,2.5627
pin725,37.4647,-7.4758
pin726,38.7195,-28.2415
pin727,42.4283,11.1309
pin728,42.1952,0.316
pin729,38.5814,-28.7019
pin730,68.131,13.542
pin731,39.8403,-7.4775
pin732,37.5456,-8.7242
pin733,43.3012,-5.2099
pin734,41.9413,-6.7371
pin735,50.764,5.9317
pin736,41.8048,-6.7413
pin737,53.2958,-6.5314
pin738,38.5008,-28.4256
pin739,53.9,-6.9086
pin740,40.7157,-7.8945
pin741,52.8133,6.6683
pin742,41.2756,-7.7161
pin743,42.76,1.1893
pin744,42.9578,1.0947
pin745,39.618,-8.4107
pin746,47.8133,18.3133
pin747,42.4018,2.0173
pin748,46.6693,-0.7417
pin749,42.149,-8.695
pin750,42.8727,0.7592
pin751,42.949,-8.9765
pin752,42.886,-8.5509
pin753,37.7467,-25.6633
pin754,37.728,-25.48
pin755,42.8077,0.3385
pin756,37.7726,-25.4831
pin757,43.0697,-0.3925
pin758,43.038,-0.9875
pin759,43.327,-7.1494
pin760,37.816,-25.471
pin761,52.2417,21.0236
pin762,42.6228,13.6039
pin763,37.7931,-25.4456
pin764,42.0641,12.0002
pin765,38.7619,-27.1559
pin766,39.0802,-28.0031
pin767,37.7448,-25.4397
pin768,38.7613,-27.2527
pin769,38.7113,-27.0844
pin770,37.743,-25.3568
pin771,37.8388,-25.3231
pin772,38.7203,-27.3253
pin773,37.767,-25.396
pin774,38.7006,-27.2872
pin775,37.7855,-25.2787
pin776,50.8428,16.2931
pin777,53.2697,17.2367
pin778,38.655,-27.235
pin779,48.8451,13.7016
pin780,62.0424,9.0642
pin781,61.0397,11.2148
pin782,62.57,7.548
pin783,59.9372,10.7227
pin784,51.3077,13.0026
pin785,37.7708,-25.5459
pin786,53.2958,-6.5314
pin787,53.9,-6.9086
pin788,53.3439,-7.2767
pin789,50.6447,11.6156
