pinid,latitude,longitude
pin104,-13.9094,-171.777
pin105,-9.4062,147.159
pin106,-18.0982,125.6401
pin107,-21.159,119.7312
pin108,-12.7115,132.4396
pin109,-23.3489,-149.4608
pin110,-67.6039,62.8706
pin111,-2.6428,140.56
pin112,-17.5682,-149.5761
pin113,-17.6619,-149.58
pin114,-17.7825,-149.2517
pin115,-17.5578,-149.3458
pin116,-17.8753,-148.0661
pin117,-15.0022,-147.8942
pin118,-8.487,116.113
pin119,-8.7233,115.532
pin120,-23.1197,-134.9733
pin121,-8.2167,114.491
pin122,-8.4794,114.142
pin123,-70.7667,11.8333
pin124,-71.6707,-2.8379
pin125,-25.0714,-130.0953
pin126,-71.2428,-9.6687
pin127,-70.9252,-7.3927
pin128,-70.6503,-8.2624
pin129,-64.7742,-64.049
pin130,-7.0144,107.5
pin131,-6.345,105.976
pin132,-5.5667,105.171
pin133,-12.1901,96.8349
pin134,6.946,126.257
pin135,13.5891,144.8686
pin136,7.07,125.579
pin137,7.009,125.09
pin138,7.879,125.062
pin139,-46.8409,51.913
pin140,-46.8354,51.887
pin141,7.848,123.382
pin142,-46.1772,51.7832
pin143,-46.1644,51.8025
pin144,7.788,122.571
pin145,16.7002,145.7795
pin146,8.583,123.352
pin147,9.691,123.862
pin148,8.969,125.621
pin149,-54.8319,-68.4333
pin150,10.1347,124.8589
pin151,8.4548,124.6942
pin152,10.317,123.966
pin153,9.782,125.489
pin154,11.165,124.979
pin155,-27.1267,-109.334
pin156,11.601,125.438
pin157,11.051,124.609
pin158,8.797,117.801
pin159,10.626,122.589
pin160,10.85,121.018
pin161,12.5105,124.6632
pin162,11.56,122.745
pin163,11.678,122.338
pin164,11.206,119.425
pin165,13.596,124.154
pin166,12.461,121.119
pin167,12.362,122.021
pin168,12.358,123.624
pin169,14.1022,120.9367
pin170,13.905,122.446
pin171,13.459,121.844
pin172,-51.6753,-58.0637
pin173,13.323,122.675
pin174,14.112,121.539
pin175,13.734,120.246
pin176,-45.5723,-72.0813
pin177,15.741,121.576
pin178,15.562,121.096
pin179,-54.2836,-36.4879
pin180,17.703,121.822
pin181,17.063,122.425
pin182,16.944,121.823
pin183,16.381,119.913
pin184,15.7744,119.9115
pin185,17.649,120.712
pin186,17.862,121.243
pin187,18.2419,122.0458
pin188,20.4411,121.964
pin189,21.4233,-158.014
pin190,20.7684,-156.2448
pin191,21.3242,-158.001
pin192,28.2157,-177.3697
pin193,-33.4556,-78.924
pin194,-33.4399,-78.9324
pin195,-33.4412,-78.912
pin196,23.3005,120.6296
pin197,19.0294,109.843
pin198,23.7875,120.954
pin199,24.9754,121.488
pin200,-36.6027,-72.0772
pin201,-7.4121,72.4525
pin202,-7.6453,72.4933
pin203,-7.6275,72.4838
pin204,-38.0567,-61.9795
pin205,-7.6453,72.4744
pin206,24.4638,118.3884
pin207,-35.0026,-71.2296
pin208,23.0869,113.344
pin209,22.302,114.1743
pin210,24.9431,118.592
pin211,-33.8476,-70.2034
pin212,-33.3961,-70.5369
pin213,-6.3454,70.9919
pin214,-33.3276,-70.2906
pin215,-6.3421,71.0143
pin216,-6.3251,71.0001
pin217,18.4575,98.9429
pin218,18.4575,98.9429
pin219,-32.8833,-68.85
pin220,18.8138,98.9438
pin221,36.5427,138.207
pin222,36.5427,138.207
pin223,-30.1672,-70.8045
pin224,31.0956,121.1867
pin225,7.2728,80.7022
pin226,-34.9089,-57.9319
pin227,32.0517,118.854
pin228,26.4586,106.664
pin229,30.5436,114.35
pin230,-32.38,20.8117
pin231,25.1233,102.74
pin232,37.4421,127.8844
pin233,-28.6137,25.256
pin234,30.2718,109.487
pin235,37.483,126.633
pin236,24.8311,93.9466
pin237,-22.61,-68.91
pin238,36.2114,117.124
pin239,-25.0145,25.597
pin240,30.91,103.758
pin241,34.0394,108.9214
pin242,38.9061,121.628
pin243,44.0347,145.8614
pin244,13.068,80.2463
pin245,17.721,83.3287
pin246,25.5667,91.8833
pin247,37.7131,112.434
pin248,23.8889,91.2463
pin249,41.8278,123.578
pin250,8.2667,73.0333
pin251,46.9539,142.755
pin252,12.8923,74.8677
pin253,40.0183,116.168
pin254,44.6164,129.592
pin255,40.0403,116.175
pin256,22.5359,88.3309
pin257,17.4169,78.5531
pin258,43.8014,125.448
pin259,-16.4621,-71.4913
pin260,23.7948,85.8858
pin261,36.0867,103.844
pin262,22.0979,82.1772
pin263,-16.2879,-68.1307
pin264,18.4104,76.5333
pin265,29.7,91.15
pin266,40.8494,111.564
pin267,27.9106,85.8794
pin268,27.571,85.409
pin269,40.6056,110.0208
pin270,27.609,85.106
pin271,27.79,85.28
pin272,17.3077,74.1835
pin273,15.4917,73.8247
pin274,18.5295,73.8492
pin275,21.1699,79.0509
pin276,28.003,84.637
pin277,-15.2766,28.1882
pin278,27.77,83.6
pin279,20.7018,77.0146
pin280,52.7295,174.0994
pin281,23.241,77.4245
pin282,53.0239,158.6531
pin283,49.2667,119.742
pin284,25.3091,81.8084
pin285,47.8347,106.395
pin286,26.4243,74.6293
pin287,28.6853,77.2159
pin288,47.8652,107.0528
pin289,30.3225,78.0556
pin290,23.254,69.654
pin291,-15.6412,-48.0141
pin292,-1.1268,37.2523
pin293,0.2376,-78.4508
pin294,31.5,76.97
pin295,56.8369,124.8931
pin296,32.4409,75.7576
pin297,32.3098,-110.7847
pin298,50.3819,103.2806
pin299,31.3947,76.3809
pin300,41.732,-122.7104
pin301,18.8976,72.8127
pin302,31.1283,77.1667
pin303,-15.6349,-47.9915
pin304,62.9328,152.3822
pin305,29.399,80.0879
pin306,62.0311,129.6811
pin307,37.6123,-119.0004
pin308,57.8189,114.0039
pin309,38.4296,-118.3036
pin310,31.6985,-105.3821
pin311,43.209,76.915
pin312,34.9459,-106.4572
pin313,68.0389,166.2711
pin314,42.6375,74.4942
pin315,29.3338,-103.667
pin316,4.84,-74.32
pin317,38.5123,-112.1772
pin318,64.7714,-146.8866
pin319,53.9367,84.7981
pin320,42.7667,-109.5579
pin321,54.8406,83.2344
pin322,68.3065,-133.5254
pin323,53.0249,70.3885
pin324,62.4932,-114.6053
pin325,42.961,47.505
