ideal_time,surface_distance
408.98,3840.5
411.14,3868.4
413.3,3896.2
415.45,3924.0
417.6,3951.8
419.74,3979.7
421.88,4007.5
424.02,4035.3
426.15,4063.2
428.28,4091.0
430.41,4118.8
432.53,4146.7
434.65,4174.5
436.76,4202.3
438.87,4230.1
440.98,4258.0
443.08,4285.8
445.18,4313.6
447.27,4341.5
449.36,4369.3
451.45,4397.1
453.53,4424.9
455.61,4452.8
457.68,4480.6
459.75,4508.4
461.82,4536.3
463.88,4564.1
465.94,4591.9
467.99,4619.8
470.04,4647.6
472.08,4675.4
474.12,4703.2
476.16,4731.1
478.19,4758.9
480.22,4786.7
482.24,4814.6
484.26,4842.4
486.27,4870.2
488.28,4898.1
490.29,4925.9
492.29,4953.7
494.29,4981.5
496.28,5009.4
498.27,5037.2
500.25,5065.0
502.23,5092.9
504.2,5120.7
506.17,5148.5
508.14,5176.4
510.1,5204.2
512.06,5232.0
514.01,5259.8
515.96,5287.7
517.9,5315.5
519.84,5343.3
521.77,5371.2
523.7,5399.0
525.63,5426.8
527.55,5454.7
529.46,5482.5
531.37,5510.3
533.28,5538.1
535.18,5566.0
537.08,5593.8
538.98,5621.6
540.87,5649.5
542.75,5677.3
544.63,5705.1
546.51,5733.0
548.38,5760.8
550.24,5788.6
552.1,5816.4
553.96,5844.3
555.81,5872.1
557.66,5899.9
559.51,5927.8
561.35,5955.6
563.18,5983.4
565.01,6011.3
566.84,6039.1
568.66,6066.9
570.47,6094.7
572.29,6122.6
574.09,6150.4
575.9,6178.2
577.69,6206.1
579.49,6233.9
581.28,6261.7
583.06,6289.6
584.84,6317.4
586.62,6345.2
588.39,6373.0
590.16,6400.9
591.92,6428.7
593.68,6456.5
595.43,6484.4
597.18,6512.2
598.92,6540.0
600.66,6567.9
602.4,6595.7
604.13,6623.5
605.85,6651.3
607.57,6679.2
609.29,6707.0
611.0,6734.8
612.71,6762.7
614.41,6790.5
616.11,6818.3
617.8,6846.1
619.49,6874.0
621.18,6901.8
622.86,6929.6
624.53,6957.5
626.21,6985.3
627.87,7013.1
629.53,7041.0
631.19,7068.8
632.85,7096.6
634.49,7124.4
636.14,7152.3
637.78,7180.1
639.41,7207.9
641.04,7235.8
642.67,7263.6
644.29,7291.4
645.91,7319.3
647.52,7347.1
649.13,7374.9
650.73,7402.7
652.33,7430.6
653.92,7458.4
655.51,7486.2
657.1,7514.1
658.68,7541.9
660.25,7569.7
661.83,7597.6
663.39,7625.4
664.95,7653.2
666.51,7681.0
668.06,7708.9
669.61,7736.7
671.16,7764.5
672.7,7792.4
674.23,7820.2
675.76,7848.0
677.29,7875.9
678.81,7903.7
680.32,7931.5
681.84,7959.3
683.34,7987.2
684.85,8015.0
686.34,8042.8
687.84,8070.7
689.33,8098.5
690.81,8126.3
692.29,8154.2
693.77,8182.0
695.24,8209.8
696.7,8237.6
698.16,8265.5
699.62,8293.3
701.07,8321.1
702.52,8349.0
703.96,8376.8
705.4,8404.6
706.83,8432.5
708.26,8460.3
709.69,8488.1
711.1,8515.9
712.52,8543.8
713.93,8571.6
715.33,8599.4
716.73,8627.3
718.13,8655.1
719.52,8682.9
720.91,8710.8
722.29,8738.6
723.67,8766.4
725.04,8794.2
726.41,8822.1
727.77,8849.9
729.13,8877.7
730.48,8905.6
731.83,8933.4
733.17,8961.2
734.51,8989.0
735.84,9016.9
737.17,9044.7
738.5,9072.5
739.82,9100.4
741.13,9128.2
742.44,9156.0
743.75,9183.9
745.05,9211.7
746.34,9239.5
747.63,9267.3
748.92,9295.2
750.2,9323.0
751.48,9350.8
752.75,9378.7
754.01,9406.5
755.27,9434.3
756.53,9462.2
757.78,9490.0
759.03,9517.8
760.27,9545.6
761.5,9573.5
762.73,9601.3
763.96,9629.1
765.18,9657.0
766.4,9684.8
767.61,9712.6
768.81,9740.5
770.02,9768.3
771.21,9796.1
772.4,9823.9
773.59,9851.8
774.77,9879.6
775.94,9907.4
777.11,9935.3
778.28,9963.1
779.44,9990.9
780.6,10018.8
781.76,10046.6
782.92,10074.4
784.08,10102.2
785.24,10130.1
786.39,10157.9
787.55,10185.7
788.71,10213.6
789.86,10241.4
791.01,10269.2
792.17,10297.1
793.32,10324.9
794.47,10352.7
795.62,10380.5
796.77,10408.4
797.91,10436.2
799.06,10464.0
800.2,10491.9
801.34,10519.7
802.48,10547.5
803.62,10575.4
804.76,10603.2
805.89,10631.0
807.02,10658.8
808.15,10686.7
809.28,10714.5
810.41,10742.3
811.53,10770.2
812.66,10798.0
813.78,10825.8
814.9,10853.7
816.01,10881.5
817.13,10909.3
818.24,10937.1
819.35,10965.0
820.46,10992.8
821.57,11020.6
822.68,11048.5
823.79,11076.3
824.9,11104.1
826.01,11131.9
827.12,11159.8
828.23,11187.6
829.34,11215.4
830.45,11243.3
831.56,11271.1
832.67,11298.9
833.78,11326.8
834.89,11354.6
836.0,11382.4
837.11,11410.2
838.22,11438.1
839.33,11465.9
840.43,11493.7
841.54,11521.6
842.65,11549.4
843.76,11577.2
844.87,11605.1
845.98,11632.9
847.09,11660.7
848.2,11688.5
849.31,11716.4
850.42,11744.2
851.53,11772.0
852.64,11799.9
853.75,11827.7
854.86,11855.5
855.97,11883.4
857.08,11911.2
858.19,11939.0
859.3,11966.8
860.41,11994.7
861.52,12022.5
862.63,12050.3
863.74,12078.2
864.85,12106.0
865.96,12133.8
867.07,12161.7
868.18,12189.5
869.29,12217.3
870.4,12245.1
871.51,12273.0
872.62,12300.8
873.73,12328.6
874.84,12356.5
875.95,12384.3
877.06,12412.1
878.17,12440.0
879.28,12467.8
880.39,12495.6
881.49,12523.4
882.6,12551.3
883.71,12579.1
884.82,12606.9
885.93,12634.8
887.04,12662.6
888.15,12690.4
889.26,12718.3
890.37,12746.1
891.48,12773.9
892.59,12801.7
893.7,12829.6
894.81,12857.4
895.92,12885.2
897.03,12913.1
898.14,12940.9
899.25,12968.7
900.36,12996.6
901.47,13024.4
902.58,13052.2
903.69,13080.0
904.8,13107.9
905.91,13135.7
907.02,13163.5
908.13,13191.4
909.24,13219.2
910.35,13247.0
911.46,13274.8
912.57,13302.7
913.68,13330.5
914.79,13358.3
915.9,13386.2
917.01,13414.0
918.12,13441.8
919.23,13469.7
920.34,13497.5
921.45,13525.3
922.55,13553.1
923.66,13581.0
924.77,13608.8
925.88,13636.6
926.99,13664.5
928.1,13692.3
929.21,13720.1
930.32,13748.0
931.43,13775.8
932.54,13803.6
933.65,13831.4
934.76,13859.3
935.87,13887.1
936.98,13914.9
938.09,13942.8
939.2,13970.6
940.31,13998.4
941.42,14026.3
942.53,14054.1
943.64,14081.9
944.75,14109.7
945.86,14137.6
946.97,14165.4
948.08,14193.2
949.19,14221.1
950.3,14248.9
951.41,14276.7
952.52,14304.6
953.63,14332.4
954.74,14360.2
955.85,14388.0
956.96,14415.9
958.07,14443.7
959.18,14471.5
960.29,14499.4
961.4,14527.2
962.51,14555.0
963.61,14582.9
964.72,14610.7
965.83,14638.5
966.94,14666.3
968.05,14694.2
969.16,14722.0
970.27,14749.8
971.38,14777.7
972.49,14805.5
973.6,14833.3
974.71,14861.2
975.82,14889.0
976.93,14916.8
978.04,14944.6
979.15,14972.5
980.26,15000.3
981.37,15028.1
982.48,15056.0
983.59,15083.8
984.7,15111.6
985.81,15139.5
986.92,15167.3
988.03,15195.1
989.14,15222.9
990.25,15250.8
991.36,15278.6
992.47,15306.4
993.58,15334.3
994.69,15362.1
995.8,15389.9
996.91,15417.7
998.02,15445.6
999.13,15473.4
1000.24,15501.2
1001.35,15529.1
1002.46,15556.9
1003.57,15584.7
1004.67,15612.6
1005.78,15640.4
1006.89,15668.2
1008.0,15696.0
1009.11,15723.9
1010.22,15751.7
1011.33,15779.5
1012.44,15807.4
1013.55,15835.2
1014.66,15863.0
1015.77,15890.9
1016.88,15918.7
1017.99,15946.5
1019.1,15974.3
1020.21,16002.2
1021.32,16030.0
1022.43,16057.8
1023.54,16085.7
1024.65,16113.5
1025.76,16141.3
1026.87,16169.2
1027.98,16197.0
1029.09,16224.8
1030.2,16252.6
1031.31,16280.5
1032.42,16308.3
1033.53,16336.1
1034.64,16364.0
1035.75,16391.8
1036.86,16419.6
1037.97,16447.5
1039.08,16475.3
1040.19,16503.1
1041.3,16530.9
1042.41,16558.8
1043.52,16586.6
1044.63,16614.4
1045.73,16642.3
1046.84,16670.1
1047.95,16697.9
1049.06,16725.8
1050.17,16753.6
1051.28,16781.4
1052.39,16809.2
1053.5,16837.1
1054.61,16864.9
1055.72,16892.7
1056.83,16920.6
1057.94,16948.4
1059.05,16976.2
1060.16,17004.1
1061.27,17031.9
1062.38,17059.7
1063.49,17087.5
1064.6,17115.4
1065.71,17143.2
1066.82,17171.0
1067.93,17198.9
1069.04,17226.7
1070.15,17254.5
1071.26,17282.4
1072.37,17310.2
1073.48,17338.0
1074.59,17365.8
1075.7,17393.7
1076.81,17421.5
1077.92,17449.3
1079.03,17477.2
1080.14,17505.0
1081.25,17532.8
1082.36,17560.6
1083.47,17588.5
1084.58,17616.3
